Altitude,Callsign,Direction,Position,Speed,Timestamp,UTC
325,LNI043,248,"-6.125931,106.685158",164,1540742142,2018-10-28Z
400,LNI043,248,"-6.124273,106.689323",164,1540742136,2018-10-28Z
550,LNI043,249,"-6.121811,106.695587",163,1540742127,2018-10-28Z
675,LNI043,248,"-6.119478,106.70182",160,1540742119,2018-10-28Z
750,LNI043,248,"-6.117848,106.70594",158,1540742113,2018-10-28Z
825,LNI043,247,"-6.116135,106.710114",157,1540742107,2018-10-28Z
900,LNI043,248,"-6.114487,106.714211",158,1540742101,2018-10-28Z
1000,LNI043,248,"-6.112821,106.718353",158,1540742095,2018-10-28Z
1150,LNI043,248,"-6.109516,106.726639",159,1540742083,2018-10-28Z
1250,LNI043,248,"-6.10784,106.730949",158,1540742077,2018-10-28Z
1325,LNI043,248,"-6.106247,106.73497",159,1540742069,2018-10-28Z
1475,LNI043,249,"-6.102859,106.743546",159,1540742058,2018-10-28Z
1650,LNI043,247,"-6.099747,106.751495",158,1540742048,2018-10-28Z
1800,LNI043,247,"-6.096497,106.759644",161,1540742035,2018-10-28Z
2000,LNI043,248,"-6.093018,106.768303",163,1540742023,2018-10-28Z
2075,LNI043,248,"-6.09137,106.772491",163,1540742017,2018-10-28Z
2150,LNI043,249,"-6.089767,106.776634",163,1540742011,2018-10-28Z
2325,LNI043,248,"-6.086426,106.785385",163,1540741999,2018-10-28Z
2425,LNI043,248,"-6.084703,106.789711",163,1540741993,2018-10-28Z
2525,LNI043,248,"-6.08313,106.79377",166,1540741987,2018-10-28Z
2600,LNI043,248,"-6.081445,106.798141",169,1540741981,2018-10-28Z
2750,LNI043,248,"-6.079722,106.802406",171,1540741975,2018-10-28Z
3000,LNI043,247,"-6.076126,106.811546",171,1540741964,2018-10-28Z
3050,LNI043,248,"-6.074275,106.815994",169,1540741957,2018-10-28Z
3075,LNI043,247,"-6.070738,106.824661",172,1540741945,2018-10-28Z
3050,LNI043,247,"-6.067932,106.831657",174,1540741937,2018-10-28Z
3050,LNI043,247,"-6.06427,106.840363",176,1540741924,2018-10-28Z
3050,LNI043,247,"-6.062312,106.845169",177,1540741916,2018-10-28Z
3050,LNI043,247,"-6.06045,106.849762",180,1540741910,2018-10-28Z
3050,LNI043,247,"-6.058541,106.854309",185,1540741904,2018-10-28Z
3050,LNI043,248,"-6.054584,106.864204",190,1540741893,2018-10-28Z
3050,LNI043,249,"-6.052815,106.868843",191,1540741886,2018-10-28Z
3050,LNI043,249,"-6.05086,106.874008",192,1540741880,2018-10-28Z
3100,LNI043,250,"-6.048998,106.879028",191,1540741874,2018-10-28Z
3175,LNI043,250,"-6.047136,106.88414",189,1540741868,2018-10-28Z
3250,LNI043,251,"-6.044436,106.891716",189,1540741861,2018-10-28Z
3300,LNI043,250,"-6.042755,106.896736",188,1540741854,2018-10-28Z
